id,general_team,general_city,general_team_name,general_team_abbv,full_name,is_active,draft_team,draft_city,draft_team_name,draft_team_abbrv,organization_type,birthdate,country,weight,seniority,position,from_year,to_year,g-league,nba,draft_year,draft_round,draft_number,greatest_75_flag,jersey_def,organization_def,height_definitivo
358,1610612753,Orlando,Magic,ORL,Anfernee Hardaway,0.0,1610612744.0,Golden State,Warriors,GOS,College/University,18/07/1971 00:00,USA,215.0,14.0,Forward,1993.0,2007.0,N,Y,1993,1,3,N,1.0,Memphis,200.66
348,1610612739,Cleveland,Cavaliers,CLE,Mitchell Butler,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,15/12/1970 00:00,USA,210.0,9.0,Guard,1993.0,2003.0,N,Y,Undrafted,Undrafted,Undrafted,N,6.0,UCLA,195.58
917,1610612751,New Jersey,Nets,NJN,Jack Haley,0.0,1610612741.0,Chicago,Bulls,CHI,College/University,27/01/1964 00:00,USA,240.0,9.0,Forward,1988.0,1997.0,N,Y,1987,4,79,N,54.0,UCLA,208.28
356,1610612762,Utah,Jazz,UTA,Chris Morris,0.0,1610612751.0,New Jersey,Nets,NJN,College/University,20/01/1966 00:00,USA,228.0,11.0,Forward,1988.0,1998.0,N,Y,1988,1,4,N,34.0,Auburn,203.2
1444,1610612758,Sacramento,Kings,SAC,Lawrence Funderburke,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,15/12/1970 00:00,USA,230.0,8.0,Forward,1997.0,2004.0,N,Y,1994,2,51,N,51.0,Ohio State,205.74
355,1610612757,Portland,Trail Blazers,POR,Vincent Askew,0.0,1610612755.0,Philadelphia,76ers,PHL,College/University,28/02/1966 00:00,USA,210.0,9.0,Guard,1987.0,1997.0,N,Y,1987,2,39,N,17.0,Memphis,198.12
469,1610612748,Miami,Heat,MIA,Jamal Mashburn,0.0,1610612742.0,Dallas,Mavericks,DAL,College/University,29/11/1972 00:00,USA,247.0,12.0,Forward,1993.0,2003.0,N,Y,1993,1,4,N,24.0,Kentucky,203.2
1005,1610612761,Toronto,Raptors,TOR,Walt Williams,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,16/04/1970 00:00,USA,230.0,12.0,Forward-Guard,1992.0,2002.0,N,Y,1992,1,7,N,42.0,Maryland,203.2
1512,1610612742,Dallas,Mavericks,DAL,Chris Anstey,0.0,1610612757.0,Portland,Trail Blazers,POR,Other Team/Club,01/01/1975 00:00,Australia,249.0,2.0,Center,1997.0,1999.0,N,Y,1997,1,18,N,11.0,South East Melbourne,213.36
1128,1610612760,Seattle,SuperSonics,SEA,Stephen Howard,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,15/07/1970 00:00,USA,225.0,4.0,Forward,1992.0,1997.0,N,Y,Undrafted,Undrafted,Undrafted,N,44.0,DePaul,205.74
1086,1610612745,Houston,Rockets,HOU,Joe Stephens,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,28/01/1973 00:00,USA,210.0,3.0,Forward,1996.0,1999.0,N,Y,Undrafted,Undrafted,Undrafted,N,41.0,Arkansas-Little Rock,200.66
1507,1610612739,Cleveland,Cavaliers,CLE,Derek Anderson,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,18/07/1974 00:00,USA,195.0,12.0,Guard,1997.0,2007.0,N,Y,1997,1,13,N,23.0,Kentucky,195.58
1526,1610612760,Seattle,SuperSonics,SEA,James Cotton,0.0,1610612743.0,Denver,Nuggets,DEN,College/University,14/12/1975 00:00,USA,220.0,2.0,Guard,1997.0,1998.0,N,Y,1997,2,32,N,4.0,Long Beach State,195.58
339,1610612750,Minnesota,Timberwolves,MIN,Tom Gugliotta,0.0,1610612764.0,Washington,Bullets,WAS,College/University,19/12/1969 00:00,USA,250.0,14.0,Forward,1992.0,2004.0,N,Y,1992,1,6,N,24.0,North Carolina State,208.28
82,1610612741,Chicago,Bulls,CHI,Bill Wennington,0.0,1610612742.0,Dallas,Mavericks,DAL,College/University,26/04/1963 00:00,USA,245.0,13.0,Center,1985.0,1999.0,N,Y,1985,1,16,N,34.0,St. John's (NY),213.36
1080,1610612739,Cleveland,Cavaliers,CLE,Henry James,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,29/07/1965 00:00,USA,220.0,7.0,Forward,1990.0,1997.0,N,Y,Undrafted,Undrafted,Undrafted,N,32.0,St. Mary's (TX),203.2
1513,1610612765,Detroit,Pistons,DET,Scot Pollard,0.0,1610612765.0,Detroit,Pistons,DET,College/University,12/02/1975 00:00,USA,278.0,12.0,Center-Forward,1997.0,2007.0,N,Y,1997,1,19,N,31.0,Kansas,210.82
963,1610612738,Boston,Celtics,BOS,Dontae' Jones,0.0,1610612752.0,New York,Knicks,NYK,College/University,02/06/1975 00:00,USA,220.0,1.0,Forward,1997.0,1997.0,N,Y,1996,1,21,N,13.0,Mississippi State,203.2
1110,1610612748,Miami,Heat,MIA,Mark Strickland,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,14/07/1970 00:00,USA,220.0,9.0,Forward,1994.0,2002.0,N,Y,Undrafted,Undrafted,Undrafted,N,30.0,Temple,208.28
718,1610612761,Toronto,Raptors,TOR,Gary Trent,0.0,1610612749.0,Milwaukee,Bucks,MIL,College/University,22/09/1974 00:00,USA,250.0,10.0,Forward,1995.0,2003.0,N,Y,1995,1,11,N,33.0,Ohio,203.2
1519,1610612761,Toronto,Raptors,TOR,John Thomas,0.0,1610612752.0,New York,Knicks,NYK,College/University,08/09/1975 00:00,USA,265.0,6.0,Center,1997.0,2005.0,Y,Y,1997,1,25,N,12.0,Minnesota,205.74
240,1610612752,New York,Knicks,NYK,Brooks Thompson,0.0,1610612753.0,Orlando,Magic,ORL,College/University,19/07/1970 00:00,USA,193.0,4.0,Guard,1994.0,1997.0,N,Y,1994,1,27,N,7.0,Oklahoma State,193.04
164,1610612752,New York,Knicks,NYK,Chris Childs,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,20/11/1967 00:00,USA,195.0,9.0,Guard,1994.0,2002.0,N,Y,Undrafted,Undrafted,Undrafted,N,1.0,Boise State,190.5
753,1610612741,Chicago,Bulls,CHI,Randy Brown,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,22/05/1968 00:00,USA,190.0,13.0,Guard,1991.0,2002.0,N,Y,1991,2,31,N,1.0,New Mexico State,187.96
140,1610612766,Charlotte,Hornets,CHH,Donald Royal,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,22/05/1966 00:00,USA,218.0,8.0,Forward,1989.0,1997.0,N,Y,1987,3,52,N,5.0,Notre Dame,203.2
98,1610612753,Orlando,Magic,ORL,Nick Anderson,0.0,1610612753.0,Orlando,Magic,ORL,College/University,20/01/1968 00:00,USA,228.0,14.0,Forward-Guard,1989.0,2002.0,N,Y,1989,1,11,N,25.0,Illinois,198.12
431,1610612739,Cleveland,Cavaliers,CLE,Shawn Kemp,0.0,1610612760.0,Seattle,SuperSonics,SEA,College/University,26/11/1969 00:00,USA,280.0,15.0,Forward,1989.0,2002.0,N,Y,1989,1,17,N,4.0,Concord HS (IN),208.28
958,1610612739,Cleveland,Cavaliers,CLE,Vitaly Potapenko,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,21/03/1975 00:00,Ukraine,285.0,12.0,Center-Forward,1996.0,2006.0,N,Y,1996,1,12,N,52.0,Wright State,208.28
109,1610612747,Los Angeles,Lakers,LAL,Robert Horry,0.0,1610612745.0,Houston,Rockets,HOU,College/University,25/08/1970 00:00,USA,240.0,17.0,Forward-Center,1992.0,2007.0,N,Y,1992,1,11,N,5.0,Alabama,208.28
916,1610612747,Los Angeles,Lakers,LAL,Corie Blount,0.0,1610612741.0,Chicago,Bulls,CHI,College/University,04/01/1969 00:00,USA,242.0,12.0,Forward-Center,1993.0,2003.0,N,Y,1993,1,25,N,43.0,Cincinnati,208.28
1508,1610612746,Los Angeles,Clippers,LAC,Maurice Taylor,0.0,1610612746.0,Los Angeles,Clippers,LAC,College/University,30/10/1976 00:00,USA,265.0,9.0,Forward-Center,1997.0,2006.0,N,Y,1997,1,14,N,23.0,Michigan,205.74
72,1610612738,Boston,Celtics,BOS,Kenny Anderson,0.0,1610612751.0,New Jersey,Nets,NJN,College/University,09/10/1970 00:00,USA,168.0,14.0,Guard,1991.0,2004.0,N,Y,1991,1,2,N,7.0,Georgia Tech,185.42
1506,1610612754,Indiana,Pacers,IND,Austin Croshere,0.0,1610612754.0,Indiana,Pacers,IND,College/University,01/05/1975 00:00,USA,240.0,12.0,Forward,1997.0,2008.0,N,Y,1997,1,12,N,44.0,Providence,208.28
365,1610612754,Indiana,Pacers,IND,Derrick McKey,0.0,1610612760.0,Seattle,SuperSonics,SEA,College/University,10/10/1966 00:00,USA,241.0,15.0,Forward,1987.0,2001.0,N,Y,1987,1,9,N,9.0,Alabama,208.28
445,1610612739,Cleveland,Cavaliers,CLE,Wesley Person,0.0,1610612756.0,Phoenix,Suns,PHX,College/University,28/03/1971 00:00,USA,200.0,12.0,Guard-Forward,1994.0,2004.0,N,Y,1994,1,23,N,1.0,Auburn,198.12
156,1610612745,Houston,Rockets,HOU,Antoine Carr,0.0,1610612765.0,Detroit,Pistons,DET,College/University,23/07/1961 00:00,USA,225.0,16.0,Forward,1984.0,1999.0,N,Y,1983,1,8,N,55.0,Wichita State,205.74
679,1610612744,Golden State,Warriors,GSW,Jason Caffey,0.0,1610612741.0,Chicago,Bulls,CHI,College/University,12/06/1973 00:00,USA,256.0,9.0,Forward,1995.0,2002.0,N,Y,1995,1,20,N,21.0,Alabama,203.2
1801,1610612753,Orlando,Magic,ORL,Jonathan Kerner,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,06/06/1974 00:00,USA,245.0,2.0,Center,1998.0,2002.0,N,Y,Undrafted,Undrafted,Undrafted,N,52.0,East Carolina,210.82
23,1610612747,Los Angeles,Lakers,LAL,Dennis Rodman,0.0,1610612765.0,Detroit,Pistons,DET,College/University,13/05/1961 00:00,USA,210.0,14.0,Forward,1986.0,1999.0,N,Y,1986,2,27,Y,73.0,Southeastern Oklahoma State,200.66
962,1610612738,Boston,Celtics,BOS,Walter McCarty,0.0,1610612752.0,New York,Knicks,NYK,College/University,01/02/1974 00:00,USA,245.0,10.0,Forward,1996.0,2005.0,N,Y,1996,1,19,N,0.0,Kentucky,208.28
1731,1610612747,Los Angeles,Lakers,LAL,Tyronn Lue,0.0,1610612743.0,Denver,Nuggets,DEN,College/University,03/05/1977 00:00,USA,175.0,12.0,Guard,1998.0,2008.0,N,Y,1998,1,23,N,10.0,Nebraska,182.88
979,1610612757,Portland,Trail Blazers,POR,Jermaine O'Neal,0.0,1610612757.0,Portland,Trail Blazers,POR,High School,13/10/1978 00:00,USA,255.0,18.0,Center-Forward,1996.0,2013.0,N,Y,1996,1,17,N,5.0,Eau Claire HS (SC),210.82
916,1610612739,Cleveland,Cavaliers,CLE,Corie Blount,0.0,1610612741.0,Chicago,Bulls,CHI,College/University,04/01/1969 00:00,USA,242.0,12.0,Forward-Center,1993.0,2003.0,N,Y,1993,1,25,N,44.0,Cincinnati,208.28
934,1610612766,Charlotte,Hornets,CHH,Derrick Coleman,0.0,1610612751.0,New Jersey,Nets,NJN,College/University,21/06/1967 00:00,USA,270.0,15.0,Forward,1990.0,2004.0,N,Y,1990,1,1,N,44.0,Syracuse,208.28
55,1610612748,Miami,Heat,MIA,Marty Conlon,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,19/01/1968 00:00,USA,224.0,9.0,Center,1991.0,1999.0,N,Y,Undrafted,Undrafted,Undrafted,N,40.0,Providence,208.28
1820,1610612743,Denver,Nuggets,DEN,Kelly McCarty,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,24/08/1975 00:00,USA,200.0,1.0,Guard-Forward,1998.0,1998.0,N,Y,Undrafted,Undrafted,Undrafted,N,11.0,Southern Mississippi,200.66
1743,1610612742,Dallas,Mavericks,DAL,Bruno Sundov,0.0,1610612742.0,Dallas,Mavericks,DAL,Other Team/Club,10/02/1980 00:00,Croatia,260.0,8.0,Center,1998.0,2004.0,N,Y,1998,2,35,N,40.0,Split,218.44
456,1610612760,Seattle,SuperSonics,SEA,Chuck Person,0.0,1610612754.0,Indiana,Pacers,IND,College/University,27/06/1964 00:00,USA,241.0,13.0,Forward,1986.0,1999.0,N,Y,1986,1,4,N,52.0,Auburn,203.2
221,1610612748,Miami,Heat,MIA,Clar. Weatherspoon,0.0,1610612755.0,Philadelphia,76ers,PHL,College/University,08/09/1970 00:00,USA,270.0,14.0,Forward,1992.0,2004.0,N,Y,1992,1,9,N,51.0,Southern Mississippi,200.66
1953,1610612760,Seattle,SuperSonics,SEA,Lazaro Borrell,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,20/09/1972 00:00,Cuba,220.0,1.0,Forward,1999.0,1999.0,N,Y,Undrafted,Undrafted,Undrafted,N,49.0,Villa Clara,203.2
95,1610612739,Cleveland,Cavaliers,CLE,Mark Bryant,0.0,1610612757.0,Portland,Trail Blazers,POR,College/University,25/04/1965 00:00,USA,250.0,16.0,Forward,1988.0,2002.0,N,Y,1988,1,21,N,32.0,Seton Hall,205.74
198,1610612739,Cleveland,Cavaliers,CLE,Danny Ferry,0.0,1610612746.0,Los Angeles,Clippers,LAC,College/University,17/10/1966 00:00,USA,235.0,14.0,Forward,1990.0,2002.0,N,Y,1989,1,2,N,51.0,Duke,208.28
672,1610612745,Houston,Rockets,HOU,Matt Bullard,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,05/06/1967 00:00,USA,229.0,12.0,Forward,1990.0,2002.0,N,Y,Undrafted,Undrafted,Undrafted,N,53.0,Iowa,208.28
1065,1610612742,Dallas,Mavericks,DAL,Erick Strickland,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,25/11/1973 00:00,USA,218.0,10.0,Guard,1996.0,2004.0,N,Y,Undrafted,Undrafted,Undrafted,N,50.0,Nebraska,190.5
123,1610612742,Dallas,Mavericks,DAL,Robert Pack,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,03/02/1969 00:00,USA,190.0,13.0,Guard,1991.0,2003.0,N,Y,Undrafted,Undrafted,Undrafted,N,49.0,Southern California,187.96
280,1610612759,San Antonio,Spurs,SAS,Felton Spencer,0.0,1610612750.0,Minnesota,Timberwolves,MIN,College/University,05/01/1968 00:00,USA,290.0,12.0,Center,1990.0,2001.0,N,Y,1990,1,6,N,49.0,Louisville,213.36
1844,1610612760,Seattle,SuperSonics,SEA,Fred Vinson,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,28/01/1971 00:00,USA,190.0,2.0,Guard,1994.0,1999.0,N,Y,Undrafted,Undrafted,Undrafted,N,50.0,Georgia Tech,193.04
441,1610612739,Cleveland,Cavaliers,CLE,Lamond Murray,0.0,1610612746.0,Los Angeles,Clippers,LAC,College/University,20/04/1973 00:00,USA,235.0,11.0,Forward,1994.0,2005.0,N,Y,1994,1,7,N,51.0,California,200.66
958,1610612738,Boston,Celtics,BOS,Vitaly Potapenko,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,21/03/1975 00:00,Ukraine,285.0,12.0,Center-Forward,1996.0,2006.0,N,Y,1996,1,12,N,53.0,Wright State,208.28
168,1610612744,Golden State,Warriors,GSW,Chris Mills,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,25/01/1970 00:00,USA,220.0,11.0,Forward,1993.0,2002.0,N,Y,1993,1,22,N,51.0,Arizona,200.66
317,1610612744,Golden State,Warriors,GSW,John Starks,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,10/08/1965 00:00,USA,190.0,13.0,Guard,1988.0,2001.0,N,Y,Undrafted,Undrafted,Undrafted,N,32.0,Oklahoma State,195.58
969,1610612747,Los Angeles,Lakers,LAL,Travis Knight,0.0,1610612741.0,Chicago,Bulls,CHI,College/University,13/09/1974 00:00,USA,235.0,8.0,Center,1996.0,2002.0,N,Y,1996,1,29,N,52.0,Connecticut,213.36
255,1610612765,Detroit,Pistons,DET,Grant Hill,0.0,1610612765.0,Detroit,Pistons,DET,College/University,05/10/1972 00:00,USA,225.0,18.0,Forward,1994.0,2012.0,N,Y,1994,1,3,N,51.0,Duke,203.2
1559,1610612738,Boston,Celtics,BOS,Adrian Griffin,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,04/07/1974 00:00,USA,230.0,10.0,Guard-Forward,1999.0,2007.0,N,Y,Undrafted,Undrafted,Undrafted,N,52.0,Seton Hall,195.58
49,1610612751,New Jersey,Nets,NJN,Gheorghe Muresan,0.0,1610612764.0,Washington,Bullets,WAS,Other Team/Club,14/02/1971 00:00,Romania,303.0,7.0,Center,1993.0,1999.0,N,Y,1993,2,30,N,55.0,Pau Orthez,231.14
1906,1610612748,Miami,Heat,MIA,Tim James,0.0,1610612748.0,Miami,Heat,MIA,College/University,25/12/1976 00:00,USA,214.0,4.0,Forward,1999.0,2002.0,N,Y,1999,1,25,N,52.0,Miami,200.66
63,1610612764,Washington,Wizards,WAS,Michael Smith,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,28/03/1972 00:00,USA,240.0,8.0,Forward,1994.0,2000.0,N,Y,1994,2,35,N,51.0,Providence,203.2
1538,1610612739,Cleveland,Cavaliers,CLE,Cedric Henderson,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,11/03/1975 00:00,USA,225.0,6.0,Forward,1997.0,2002.0,N,Y,1997,2,44,N,52.0,Memphis,200.66
31,1610612764,Washington,Wizards,WAS,Lorenzo Williams,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,15/07/1969 00:00,USA,200.0,7.0,Forward,1992.0,1999.0,N,Y,Undrafted,Undrafted,Undrafted,N,52.0,Stetson,205.74
400,1610612753,Orlando,Magic,ORL,Derek Strong,0.0,1610612755.0,Philadelphia,76ers,PHL,College/University,09/02/1968 00:00,USA,240.0,10.0,Forward,1991.0,2000.0,N,Y,1990,2,47,N,51.0,Xavier,205.74
457,1610612752,New York,Knicks,NYK,Andrew Lang,0.0,1610612756.0,Phoenix,Suns,PHX,College/University,28/06/1966 00:00,USA,275.0,12.0,Center,1988.0,1999.0,N,Y,1988,2,28,N,50.0,Arkansas,210.82
1901,1610612737,Atlanta,Hawks,ATL,Dion Glover,0.0,1610612737.0,Atlanta,Hawks,ATL,College/University,22/10/1978 00:00,USA,225.0,6.0,Forward-Guard,1999.0,2004.0,N,Y,1999,1,20,N,32.0,Georgia Tech,195.58
137,1610612760,Seattle,SuperSonics,SEA,Vernon Maxwell,0.0,1610612743.0,Denver,Nuggets,DEN,College/University,12/09/1965 00:00,USA,190.0,13.0,Guard,1988.0,2000.0,N,Y,1988,2,47,N,32.0,Florida,193.04
1005,1610612745,Houston,Rockets,HOU,Walt Williams,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,16/04/1970 00:00,USA,230.0,12.0,Forward-Guard,1992.0,2002.0,N,Y,1992,1,7,N,42.0,Maryland,203.2
258,1610612757,Portland,Trail Blazers,POR,Brian Grant,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,05/03/1972 00:00,USA,254.0,13.0,Forward-Center,1994.0,2005.0,N,Y,1994,1,8,N,44.0,Xavier,205.74
82,1610612758,Sacramento,Kings,SAC,Bill Wennington,0.0,1610612742.0,Dallas,Mavericks,DAL,College/University,26/04/1963 00:00,USA,245.0,13.0,Center,1985.0,1999.0,N,Y,1985,1,16,N,7.0,St. John's (NY),213.36
1915,1610612751,New Jersey,Nets,NJN,Evan Eschmeyer,0.0,1610612751.0,New Jersey,Nets,NJN,College/University,30/05/1975 00:00,USA,250.0,5.0,Center,1999.0,2003.0,N,Y,1999,2,34,N,0.0,Northwestern,210.82
1715,1610612758,Sacramento,Kings,SAC,Jason Williams,0.0,1610612758.0,Sacramento,Kings,SAC,College/University,18/11/1975 00:00,USA,180.0,12.0,Guard,1998.0,2010.0,N,Y,1998,1,7,N,55.0,Florida,185.42
2061,1610612745,Houston,Rockets,HOU,Dan Langhi,0.0,1610612742.0,Dallas,Mavericks,DAL,College/University,28/11/1977 00:00,USA,220.0,4.0,Forward,2000.0,2003.0,N,Y,2000,2,31,N,14.0,Vanderbilt,210.82
692,1610612753,Orlando,Magic,ORL,Andrew DeClercq,0.0,1610612744.0,Golden State,Warriors,GOS,College/University,01/02/1973 00:00,USA,255.0,11.0,Center,1995.0,2004.0,N,Y,1995,2,34,N,55.0,Florida,208.28
1504,1610612744,Golden State,Warriors,GSW,Danny Fortson,0.0,1610612749.0,Milwaukee,Bucks,MIL,College/University,27/03/1976 00:00,USA,260.0,10.0,Center-Forward,1997.0,2006.0,N,Y,1997,1,10,N,21.0,Cincinnati,203.2
2123,1610612761,Toronto,Raptors,TOR,Garth Joseph,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,08/08/1973 00:00,USA,306.0,2.0,Center,2000.0,2000.0,N,Y,Undrafted,Undrafted,Undrafted,N,32.0,St. Rose,218.44
105,1610612748,Miami,Heat,MIA,Dan Majerle,0.0,1610612756.0,Phoenix,Suns,PHX,College/University,09/09/1965 00:00,USA,222.0,14.0,Guard-Forward,1988.0,2001.0,N,Y,1988,1,14,N,9.0,Central Michigan,198.12
